file	label	source
airTraffic.tsv	Air traffic departures	WB
urban.tsv	Urban population	WB
marketCap.tsv	Locally listed companies, total market cap	WB
remittances.tsv	personalRemittances	WB
reservesWB.tsv	Total reserves, foreign, including gold	WB
highTech.tsv	High-technology exports WB
carbon.tsv	Carbon emissions	WB
employment.tsv	Employed population	IMF
exportsAnnual.tsv	Annual exports	IMF
importsAnnual.tsv	Annual imports	IMF
reserves.tsv	Foreign reserves, excluding gold	IMF
laborForce.tsv	Labor force	IMF
rural.tsv	Rural population	IMF
fdi.csv	Foreign direct investment	WB
gdp.tsv	GDP	WEO
investment.tsv	Foreign direct investment	IMF
pop.tsv	Population	WEO
