date	AFG	ALB	DZA	ASM	AGO	AIA	ATG	ARG	ARM	ABW	AUS	AUT	AZE	BHS	BHR	BGD	BRB	BLR	BEL	BLZ	BEN	BMU	BTN	BOL	BWA	BRA	BGR	BFA	BDI	CPV	KHM	CMR	CAN	CAF	TCD	CHL	HKG	MAC	CHN	COL	COM	COD	COG	COK	CRI	CIV	HRV	CYP	CZE	CSK	DNK	DJI	DMA	DOM	ECU	EGY	SLV	GNQ	EST	ETH	EMU	FLK	FRO	FJI	FIN	FRA	PYF	NCL	GAB	GMB	GEO	DEU	GHA	GIB	GRC	GRL	GRD	GLP	GUM	GTM	GUF	GIN	GNB	GUY	HTI	HND	HUN	ISL	IND	IDN	IRN	IRQ	IRL	ISR	ITA	JAM	JPN	JOR	KAZ	KEN	KIR	KOR	KWT	KGZ	LAO	LVA	LBN	LSO	LBR	LBY	LTU	LUX	MKD	MDG	MWI	MYS	MDV	MLI	MLT	MTQ	MUS	MEX	MDA	MNG	MNE	MSR	MAR	MOZ	MMR	NAM	NRU	NPL	NLD	ANT	NZL	NIC	NER	NGA	NOR	OMN	PAK	PAN		PNG	PRY	PER	PHL	POL	PRT	QAT	REU	ROU	RUS	RWA		SHN	SPM	WSM	STP	SAU	SEN	SRB	SYC	SLE	SGP	SVK	SVN	SLB	ZAF	ESP	LKA	KNA	LCA	VCT	SDN	SUR	SWZ	SWE	CHE	SYR	TWN	TJK	TZA	THA	TLS	TGO	TON	TTO	TUN	TUR	UGA	UKR	ARE	GBR	USA	URY	VUT	VEN	VNM	YMN	YMD	YEM	YUG	ZMB	ZWE
1/1/1960	50000000.00		394161707.26	7570000.00	3555000000.00		2492577.10	1079200000.00			2049824328.22	1120346152.77		6000000.00	190000000.00		23864690.33			7871507.87	18393515.92	10360004.15		51000000.00	7559996.98	1268000000.00		4338189.33	7000000.00	10660173.90	69737428.57	97000000.00	5818301235.95	13965099.00	13340397.02	488100000.00	688798277.44	10780000.00	2571279425.59	464600000.00	3262735.57		18067245.12		84300000.00	158282118.11		53849578.56			1493671764.46	20900000.00	3605574.32	180370000.00	146012960.00	567995820.06		34000000.00		77521563.91		11788000.00	14000000.00	39136894.64	988749999.32	6866434674.27	12532724.32	51278337.83	47676319.52	7789615.58		11415476181.78	324968218.68	6943997.23	203197968.00	8000000.00	4178406.22	34731196.27	8388000.00	112520000.00	460800.56		4379000.00	73342316.61	33139999.97	62999999.97		73108562.26	1331611330.56	841000000.00	636300170.43	654163739.51	426719830.08	216600000.00	3656896832.54	158661936.63	4054722218.18	11135595.57		112300000.00		32000000.00	961799617.01		9000000.00		43000000.00		82600000.00	8959996.44		413819999.59		74882622.38		1186781739.81	2074382.07	13000000.00	10709995.74	32302625.42	38850038.82	763759999.24				470000.00	353720686.84		223755223.58		6319000.00		4602368417.66	657896131.96	846857306.58	62870000.00	12675620.28	461999815.38	880739646.95		393540393.23	21236000.00	14000000.00	38382406.15	28010000.00	432980000.00	624104448.94		325913043.15	126000000.00	37000000.00	717000000.00		4000000.00	29100000.00	0	1810794.28	6767559.39	7367304.34	891111110.42	113706232.89		1700000.00	82963966.85	1135821665.11			4160800.67	1984919206.83	724999999.29	384510384.21		5049388.37	3482491.29	182086020.98	44031830.24	16869993.26	2566298292.41	1859385539.22	113156424.61	164200000.00		154951937.89	406703016.53		14631396.36	3800496.61	286765949.63	119690476.36	324200000.00	12913341.72			10609195775.42	19626000000.00	129400000.00	4778031.52	2304807970.68		11000000.00	17052413.91		566100000.00
1/1/1961	53000000.00		367425147.47	9000000.00	3885000000.00		2655326.69	964100000.00			2362528378.29	1202384614.23			198000000.00		25230853.58			8681408.68	14601019.28	11118337.79			8821396.47	1403000000.00		3594376.90		967269.56	63425714.29		6085261392.97	13820639.61	21584577.67	506300000.00	687923279.62	14400000.00	1941661240.81	433400000.00	2797054.26		19734674.20		84200000.00	194143497.41		49783980.18			1537249858.97	22300000.00	4249572.71	143140000.00	127810000.00	485007553.13		23000000.00		75951812.61		9016000.00	14100000.00	33108072.33	1054374999.28	7224339986.06	11526764.32	55990642.18	55043377.77	9447218.89		12650642847.63	322586986.04	6887997.26	223333035.15	8000000.00	3459158.02	36078151.75	7688000.00	110170000.00	474979.04		8630608.69	79875633.61	31939999.97	72949999.96		76478416.71	1386211385.12	784000000.00	756283437.68	661751736.49	505399798.75	245300000.00	4183999995.82	172359531.16	4235555551.33	14859594.08		116500000.00		41000000.00	962079616.90		6000000.00		41000000.00		61800000.00	15959993.66				77527921.40		1057748217.32	2278082.28	7073508.67	13014394.82	33590841.49	61782061.73	825999999.17				640000.00	342061736.83		221340221.17		6597000.00		4957241927.20	709175550.26	793088867.35	68360000.00	15596903.30	485659805.93	931279626.69		400260399.94	23506000.00	16000000.00	37038405.93	30120000.00	496376000.00	670297698.65		331165217.06	122000000.00	37000000.00	792500000.00			33700000.00	0	2467055.29	5485559.35	5585043.47	955555554.81	125042863.84		1058402.22	82237395.14	1080941584.65			4285120.69	2139339145.12	709999999.30	379680379.38		7185335.03	3370491.57	169939295.41	41379310.34	17737992.91	2744524190.70	2017402438.44	110279329.64	201249999.80		138235944.59	474729090.08		18818894.31	3079216.49	346382467.23	110333333.49	347000000.00	13470530.58			11073995590.33	20190000000.00	174720000.00	4727900.62	2225187596.46		11000000.00	17264215.01		568900000.00
1/1/1962	58000000.00		192219660.94	11000000.00	4342000000.00		3079408.97	1216000000.00			2356144377.27	1263499998.79			211500000.00		29329343.33			8666708.66	11019757.56	10955004.39			9322596.27	1214000000.00		7938305.66	19379999.98	771826.09	54360000.00	126401017.38	6212634402.72	14325764.84	16668331.15	530100000.00	768073079.18	16580000.00	1913226871.17	463200000.00	2554979.25		35304218.26	1975822.94	93000000.00	194640995.06		58231576.81			1668852808.85	25000000.00	4482905.46	172430000.00	144540000.00	400485246.03		25000000.00		80318941.22		4368000.00	18300000.00	39717074.19	1103749999.24	7411090805.22	10828273.82	34400935.74	59343466.76	9990419.98		13243999990.07	322166768.52	6803997.29	250099999.76	9000000.00	3539074.48	35332768.87	6044000.00	109300000.00	473561.19		7718608.69	95783093.84	42519999.97	81449999.96		84418604.66	1403221402.11	674000000.00	822389438.12	691991724.45	488319805.55	279200000.00	4667199995.33	181563127.48	4916111106.21	16598393.39		126000000.00		56000000.00	1077439570.96		7750000.00		59000000.00		67500000.00	137199945.50				94331444.13		1064934894.52	2082572.08	5060981.48	12081995.19	33521974.59	64239064.19	929919999.07				1020000.00	348582844.46		264831264.62		7598000.00		5259668504.48	687753532.57	798393757.77	90170000.00	19590491.19	467879813.04	971879610.41		397110396.80	39538000.00	18000000.00	38628806.19	32850000.00	539852882.92	506509729.10		370260869.19	131000000.00	33000000.00	818000000.00			48600000.00	0	1673060.48	7804613.52	6000000.00	1046666665.85	125217713.12		1167602.45	57483977.03	1116221636.37			3643360.58	2218579113.46	736666665.94	379890379.59		7113215.38	3557741.10	212897927.70	42440318.30	21321991.48	2924683124.75	2190740802.57	166735923.80	220749999.78		146467941.29	456191037.61		17300978.69	1865920.30	345157470.30	115928571.59	381300000.00	13378132.42			11373595471.03	20973000000.00	153430000.00	5521082.82	2342323807.47		6000000.00	16519993.42		690300000.00
1/1/1963	70000000.00		758751158.99	17000000.00	4744000000.00		4165572.92	1365100000.00			2804592449.07	1325961537.19			205700000.00		40667564.98			13000413.00	12856420.86	16030006.42			11295195.49	1406000000.00		9387162.21	8099999.99	838817.39	89034285.71	135819507.17	6776986475.98	22161391.96	22872318.87	521500000.00	873422815.72	20770000.00	2031026402.52	446000000.00	4738499.43		42017295.35	2322043.84	95000000.00	232066059.94		61325575.58			1907880828.93	22130000.00	4562821.92	174240000.00	119956706.00	521639999.77		28000000.00		89926624.14		5208000.00	19800000.00	55911651.29	1149374999.21	8203870313.04	10238957.27	46198406.91	73737761.29	8668817.34		14577499989.07	305217995.05	6246797.51	290099999.72	11000000.00	4582071.88	38127954.66	7000000.00	151510000.00	905802.24		6803130.43	101937245.11	41159999.97	83299999.96		93953488.38	1625611624.33	695000000.00	918930692.15	780807689.08	548519781.58	351500000.00	5055999994.94	201921919.35	5452222216.79	18359592.69		198099920.59		87000000.00	1136239547.55		7250000.00		57000000.00		81110000.00	373799851.53				82073136.56		1087801594.71	1804951.80	5326297.48	14744794.13	35620389.43	89838089.77	984719999.02				570000.00	384152522.47		270396270.18		8920000.00	38000000.00	5706077343.94	658588964.88	909768435.58	106770000.00	19998283.07	520099792.17	1072959569.89		416850416.52	39289748.77	15000000.00	43299206.93	39460000.00	541237882.18	652622591.45		417495651.76	136000000.00	38000000.00	915000000.00		35700000.00	70470000.00	250000.00	1235553.14	7226185.01	5522086.95	1119999999.13	111381587.21		1442703.03	81045967.61	1135168330.82			4158560.67	2359139057.29	735333332.61	363510363.22		7385281.37	3687240.78	226279426.80	46684350.13	30953987.63	3202653668.93	2387861739.09	188717277.54	332249999.68		178793928.33	466397122.30		18402899.40	2145920.34	373740732.16	126000000.17	368000000.00	17566848.65			12258395118.71	22427000000.00	165210000.00	6454631.53	2342908778.82		6000000.00	16775890.02		790300000.00
1/1/1964	64030000.00		727153406.51	13000000.00	5869000000.00		2719493.20	1410400000.00			3053120488.87	1446192306.30			175800000.00		35173162.05			13435113.43	13264004.58	15423339.51			11821595.28	1430000000.00		12263945.37	32499999.97	957773.91	87517142.86	125847596.84	8037053536.95	29144077.53	26707602.31	592100000.00	1012197468.67	21870000.00	2250377253.99	547900000.00	4024077.41		47757548.23	2595961.59	113900000.00	298701324.14		57537177.09			2106950197.56	23500000.00	5041737.39	179380000.00	143552187.00	538659999.77		33000000.00		105011999.94		5544000.00	19700000.00	65875604.48	1290937499.11	9105621556.99	11104550.76	62340555.83	95667360.16	9234978.47		16229749987.83	321046188.46	7559996.99	308533333.04	10000000.00	4212239.47	34771706.21	7000000.00	164550000.00	682592.47		6363478.25	94978095.85	40339999.97	94549999.95		111162790.70	1704781703.43	739000000.00	1252118810.63	839831665.58	548799781.47	372400000.00	5961599994.04	216241113.63	6673055548.90	24410390.28		222459910.82		118000000.00	1251039501.84		9170000.00		64776230.30		125600000.00	700279721.85		466139999.54		91755012.00	34762027.83	1104788286.28	2138642.14	8427666.62	19370392.29	29282609.46	77049076.99	1053679998.95				550000.00	432171587.78		233142232.96		9916000.00	43378396.08	6693922647.09	629742556.11	1074258128.27	125180000.00	19181359.49	600879759.89	1290659482.63	2799998.89	427350427.01	53410915.34	15000000.00	50019208.01	48830000.00	667002237.14	665983413.40		517669564.70	151000000.00	37354214.83	1000000000.00		23100000.02	67660000.00	290000.00	1430000.85	7016226.59	5639304.34	1186666665.74	123414118.04		1369202.88	95171961.97	905521327.49			4547200.73	2478979009.40	919833332.43	393960393.65		9130099.92	3772990.57	197075597.22	47745358.09	31765987.31	3675474219.04	2621113891.35	176047120.46	434249999.58		225273909.70	593221153.28		30396716.08	2607360.42	407748980.46	129689300.23	410600000.00	21304773.88			12879994871.19	25690000000.00	178940000.00	9032473.67	2472318826.28		4400000.00	16239993.53		893000000.00		419999831.58
1/1/1965	73930000.00		637221341.75	15000000.00	5741000000.00		3698324.09	1493400000.00			3005296481.21	1599999998.46		18619966.48	164600000.00		37490739.59			12224112.22	13711184.09	22691675.75		129000000.00	14334594.27	1596000000.00	1176068377.07	15016673.35	12690430.78	973913.04	105431428.57	145505908.33	8473211814.17	26552457.90	27429408.98	637400000.00	1142747142.19	21380000.00	2563155319.98	537800000.00	3733796.89		47147075.62	2771157.71	111800000.00	279193277.51		70806371.80			2319773449.84	27920817.91	5548652.79	125500000.00	156101430.00	605359999.74		27000000.00		115931999.93		6692000.00	25700000.00	53603545.67	1426562499.02	10176096697.21	10251211.49	65147886.08	105707185.56	13675227.35		17912499986.57	317824520.77	3869598.46	327766666.35	13000000.00	6342567.47	37848436.08	8000000.00	185800000.00	2898688.69		4301565.21	103313908.34	36739999.97	127214999.94		129302325.59	1686721685.39	762000000.00	1304778876.58	881859648.84	618239753.82	429600000.00	7198399992.80	214400114.37	8451111102.68	27750788.95		228059908.58		173000000.00	1283519488.90		10000000.00		86870436.75	6579997.37	135400000.00	789599686.37				91714502.06	40349432.30	1235781811.65	2487032.49	8630506.56	24228390.35	37599299.96	65814065.76	1145359998.85				470000.00	430195494.56		225162224.98		8000000.00	57028481.38	7343370160.43	602752074.38	1006543436.52	148940000.00	25503447.62	748579700.87	1443259421.46	2239999.11	528360527.94	62112887.11	15000000.00	59091209.46	56190000.00	667300522.00	697899036.50		583617390.72	163000000.00	34433448.22	1101500000.00		28120000.03	84170000.00	200000.00	1332777.00	5794018.27	5083130.43	1395555554.47	130743403.61		1539303.24	88437964.66	981308105.26			5419680.87	2546738982.32	935166665.75	409290408.97		10515303.71	3746157.30	195122932.12	58355437.67	43063982.79	3970842085.17	2941035225.67	168507853.45	449499999.56		206625917.17	622163460.95		27255235.47	2806720.45	402790659.52	119847619.16	463700000.00	20629987.38			13809594501.02	26699000000.00	191170000.00	9129393.41	2455280899.43		4800000.00	16215682.17		1091500000.00		419999831.58
1/1/1966	67360000.00		621219915.81	20300000.00	6362000000.00		1382496.54	1593200000.00			3170944507.73	1683576921.46		22539959.43	187320187.53		40809897.96			13467313.46	10511746.01	22388342.30		127400000.00	15080793.97	1741000000.00	1305128206.24	16220389.77	13874285.70	1147826.09	67317142.86	131958699.86	10004668853.80	30903531.36	23836269.56	817100000.00	1323521690.10	24030000.00	2680954851.32	506500000.00	3879087.19		43356238.55	2420765.47	135500000.00	311854958.40		81866367.40			2453403287.83	26941303.75	5862485.34	136720000.00	167985068.00	605589999.74		30000000.00		111007999.93		2940000.00	22100000.00	49075622.64	1505312498.97	10982447034.62	17379825.08	77647189.81	101251316.57	15904031.81		20156999984.88	268098780.41	3659598.54	405999999.61	15000000.00	5947651.80	35008689.35	6567000.00	226120000.00	3451041.71		3452869.56	108733061.46	35499999.97	142859999.93		140465116.29	1953787738.58	706000000.00	1310033001.99	933995628.08	684039727.62	503400000.00	8038399991.96	228022108.93	9776388879.14	29117188.41		259699895.90		251000000.00	1342319465.49		14920000.00		103035333.16	6141797.55	150460000.00	994839604.85				97102323.96	48734039.02	1256361841.82	2220332.22	9076905.70	30111188.01	44708794.27	70896070.84	1198719998.80				500000.00	428417010.66		194418194.26		9699000.00	51199240.16	7770994469.51	591722565.14	1076343796.39	142210000.00	34917175.67	795619682.07	1563519373.25	1679999.33	602280601.80	71418525.79	16000000.00	57142409.15	48500000.00	764354958.99	825641025.03		627304347.20	180415797.09	39181213.08	1186200000.00		13417142.87	76020000.00	140000.00	1535326.69	4581543.12	6142260.86	1651111109.83	151186713.05		1806003.80	82921966.86	1102174949.11			4197760.67	2741338904.56	1253499998.77	357000356.72		11579747.88	3914740.21	203192033.51	87533156.50	53689978.55	4266403254.88	3248150559.47	173167539.31	536749999.48		264585893.94	677836537.82		36135229.57	4052160.65	428807261.14	140361904.89	490700000.00	21714965.68		241290241.10	14769994118.59	29379000000.00	185840000.00	10380437.80	2372584270.20		3400000.00	15936523.07		1220100000.00		279999887.72
1/1/1967	66410000.00		723304962.30	27180000.00	6837000000.00		2819669.96	1464500000.00			3478048556.91	1808807690.57		31359943.55	210840211.07		41496171.59			14132722.39	15322677.59	24969878.07		149900000.00	12906594.84	1654000000.00	1458119659.37	17998724.75	16502857.13	1078260.87	83045714.29	121707625.24	10999816732.62	29135464.17	30619974.10	847400000.00	1526926734.23	25288319.54	2388487049.36	509900000.00	3813025.91		47725341.83	2422084.45	143800000.00	326305206.30		82011244.31			2538380833.14	23107205.47	6113257.88	156200000.00	197458071.00	566029999.75		36000000.00		101095999.94		1976000.00	25500000.00	52937628.92	1512725993.85	11546750486.03	12995042.60	75174065.54	120704518.25	17838435.59		21761249983.68	303864332.14	3855078.36	495199999.52	13200000.00	4897410.19	32436308.22	7617000.00	197930000.00	3733801.09		3742608.69	112827251.33	33659999.97	155224999.92		96922701.21	1612933331.94	657000000.00	1929069305.00	822219672.59	789826294.28	554500000.00	8705599991.29	226345713.44	10441944434.03	31721187.37		242479902.80		321000000.00	861366569.79		44330000.00		118448440.00	5835197.67	158770000.00	1168439535.90				104232073.23	56784039.46	1216508450.06	2558755.42	8272326.19	27273588.14	42861541.04	63151155.27	1144879998.86				460000.00	424069605.57		123795123.70		10000000.00	50155104.30	8361049717.71	607683537.64	993079030.28	151680000.00	34965086.13	676899729.51	1737539303.49	26205292.85	644910644.40	79433170.27	17000000.00	65464010.48	47350000.00	753839464.80	820256409.65		695652173.22	201710248.07	36398180.26	1395300000.00		14040000.01	78330000.00	50000.00	1357082.96	4362460.31	7886260.86	1784444443.06	139278042.75		2079521.91	70177953.63	1140395005.14			5697440.91	3010978796.81	1362071427.23	347657520.07		10613345.05	2340740.74	212955359.03	106631299.73	56321977.49	4527556387.83	3467910675.47	154738219.94	640499999.38		251565899.16	681057691.66		32060861.41	3993920.64	439080375.32	149257142.99	522300000.00	21878762.40		261660261.45	14493229998.51	30934000000.00	158670000.00	11842031.96	3077303371.48		4000000.00	11395092.94		1251700000.00		279999887.72
1/1/1968	71820000.00		830048651.77	30100000.00	4903000000.00		8019500.00	1367900000.00			3526208564.62	1988730767.32		50959908.27	211050211.28		40115999.98			15116369.76	22303851.03	27520000.00		152100000.00	10487395.81	1881000000.00	1615384616.77	21383885.18	14831999.99	1426086.96	88502857.14	188798821.16	13171299121.24	35612856.76	30646959.87	858000000.00	1744051742.60	28100913.48	2339742415.70	558500000.00	4071697.49		49219849.14	2153760.34	170800000.00	423647014.01		87359930.23			2639866664.38	12034031.11	6182500.00	182990000.00	208343038.00	621643999.73		36000000.00		106407999.94		2088000.00	20500000.00	56405698.45	1635487871.29	12902618147.08	11569097.08	113228986.69	124405101.63	12892820.62		24887999981.33	332205261.52	2615997.91	467733332.88	11700000.00	4921500.00	38055036.77	8589000.00	227250000.00	3444965.22		3590260.87	108149999.95	35619999.97	181434999.91		80133509.78	1761199998.47	692000000.00	1881386136.73	1038687586.39	797999362.72	639200000.00	10185599989.81	219603424.36	12971388875.95	39941984.10		251733899.09		457000000.00	928249180.77		60330000.00		147480459.05	4731998.11	169030000.00	1870679256.97		571599999.44		115886782.71	48052819.23	1346848641.14	2363368.42	10712619.63	33947972.89	39892162.51	63720063.67	1253839998.75				480000.00	450351645.43		111426111.34		15000000.00	48513580.20	9535359109.12	599146273.28	1009792161.69	162300000.00	28799652.59	591079763.80	1937739223.24	104573484.74	401667401.35	91639062.56	18000000.00	83540813.38	45850000.00	866046511.63	857692307.05		733913042.74	210918659.31	46122591.14	1468500000.00		14870000.01	89410000.00	40000.00	1037054.44	5322645.51	8658782.60	1944444442.93	152882102.63		3130205.33	95976038.41	1271061863.37			6201440.99	3204178719.61	1589428569.84	341880628.78		8773225.00	2768148.15	233085039.00	116180371.35	55089977.99	4910490774.49	3967344695.60	168350785.38	802249999.22		240659903.53	657644230.14		38603132.05	4307520.69	471649999.76	157771428.71	496500000.00	21566568.65		334530334.27	15460787653.02	34063000000.00	179160000.00	11621456.01	2778876405.12		3579994.99	13439989.27		1263700000.00		279999887.72
1/1/1969	81920000.00		933956645.52	27810000.00	5543000000.00		8435000.00	1612100000.00			4220272675.75	2412423074.60		52919904.74	225960226.21		37127499.98			16847966.30	27124393.14	32850000.00		172300000.00	18373592.66	2311000000.00	1794871796.41	20476353.56	11878857.13	1565217.39	63953983.23	224819280.11	14350081028.82	35427978.55	31060845.67	1075400000.00	2177177175.36	37409348.79	2429107577.41	607400000.00	4958486.21		43770074.80	2682400.43	189700000.00	451268519.35		95999923.33			3018666664.05	11763498.63	7074000.00	183410000.00	190818241.00	745084999.68		38000000.00		119247999.93		2280000.00	24300000.00	61125312.07	1986680855.73	15194411472.05	14073649.39	133654329.10	141561357.65	16488026.37		28851558724.40	326812318.96	2431198.06	553633332.80	14200000.00	7998500.00	34773734.56	1076000.00	255410000.00	5386167.40		4320347.82	119959999.94	37219999.97	168299999.92		107613636.37	1835066665.08	832000000.00	2100026400.54	1045295583.76	891359288.16	729300000.00	11727999988.27	254135869.64	15989999984.05	41297183.56		270619891.52		624000000.00	996418759.50		43000000.00		165207087.89	6847397.26	195930000.00	2163839140.52		699119999.31		111037766.98	52766421.12	1651302420.80	2838105.26	16626060.83	38296769.42	35530822.30	65736065.68	1429599998.57				700000.00	485130886.15		131691131.59		24000000.00	54330864.14	11382872919.94	624652013.39	1210608193.84	158750000.00	24160073.10	891099643.92	2203739116.61	141008829.45	350847350.57	108369420.25	18000000.00	99500815.93	50040000.00	865529715.76	854358973.72		822747825.26	222662000.08	45593183.51	1633200000.00		14240000.01	95490000.00	20000.00	1139733.33	6421013.22	8635478.25	2053333331.74	124386992.34		2503804.26	106020042.43	1548728937.09			7239681.16	3356918658.58	1900142855.24	321888592.01		11397999.99	2807407.41	247672595.96	130503978.78	62327975.09	5694530084.07	4575629720.11	206753926.76	1049249998.98		245909901.42	707163460.87		44556455.29	3805760.61	473849999.76	165638095.39	536800000.00	23253534.91		407400407.08	17644785908.87	37332000000.00	200340000.00	10612028.79	3082696629.91		4055972.42	8749558.23		1474500000.00		279999887.72
