date	ABW	AND	AFG	AGO	ALB	ARB	ARE	ARG	ARM	ASM	ATG	AUS	AUT	AZE	BDI	BEL	BEN	BFA	BGD	BGR	BHR	BHS	BIH	BLR	BLZ	BMU	BOL	BRA	BRB	BRN	BTN	BWA	CAF	CAN	CEB	CHE	CHI	CHL	CHN	CIV	CMR	COG	COL	COM	CPV	CRI	CSS	CUB	CUW	CYM	CYP	CZE	DEU	DJI	DMA	DNK	DOM	DZA	EAP	EAS	ECA	ECS	ECU	EGY	EMU	ERI	ESP	EST	ETH	EUU	FCS	FIN	FJI	FRA	FRO	FSM	GAB	GBR	GEO	GHA	GIN	GMB	GNB	GNQ	GRC	GRD	GRL	GTM	GUM	GUY	HIC	HKG	HND	HPC	HRV	HTI	HUN	IDN	IMN	IND	INX	IRL	IRN	IRQ	ISL	ISR	ITA	JAM	JOR	JPN	KAZ	KEN	KGZ	KHM	KIR	KNA	KOR	KSV	KWT	LAC	LAO	LBN	LBR	LBY	LCA	LCN	LDC	LIC	LIE	LKA	LMC	LMY	LSO	LTU	LUX	LVA	MAC	MAF	MAR	MCO	MDA	MDG	MDV	MEA	MEX	MHL	MIC	MKD	MLI	MLT	MMR	MNA	MNE	MNG	MNP	MOZ	MRT	MUS	MWI	MYS	NAC	NAM	NCL	NER	NGA	NIC	NLD	NOC	NOR	NPL	NZL	OEC	OED	OMN	OSS	PAK	PAN	PER	PHL	PLW	PNG	POL	PRI	PRK	PRT	PRY	PSS	PYF	QAT	ROU	RUS	RWA	SAS	SAU	SDN	SEN	SGP	SLB	SLE	SLV	SMR	SOM	SRB	SSA	SSD	SSF	SST	STP	SUR	SVK	SVN	SWE	SWZ	SXM	SYC	SYR	TCA	TCD	TGO	THA	TJK	TKM	TLS	TON	TTO	TUN	TUR	TUV	TZA	UGA	UKR	UMC	URY	USA	UZB	VCT	VEN	VIR	VNM	VUT	PSE	WLD	WSM	YEM	ZAF	COD	ZMB	ZWE
1/1/1960	27525	7840	739462	550013	493982	28937699	68070	15177907	957507	13250	21684	8378309	4561167	2052745	57881	8463316	225533	226977	2475106	2918796	133771	65400	612045	2656234	49742	44400	1357786	33447815	84931	35513	8059	16035	302204	12368141	40680946	2718204	42345	5220450	108085352	614296	747214	320302	7421611	23688	33744	456620	1324191	4170491	93258	7867	204123	5717803	51978188	42090	22714	3374572	995755	3394205	151665806	231871389	58762823	369124164	1539941	10250692	164803125	137258	17227480	697034	1424988	250665877	21364371	2449145	116760	28968650	7327	9938	86849	41104656	1570123	1546789	374627	44626	83831	64383	4660434	27257	19024	1284536	33469	163675	562230815	2620415	455471	19882497	1248376	602850	5582136	12805416	26702	80597394		1296121	7390294	3127234	140986	1624582	29799044	550098	429419	58526962	4293509	596722	742514	588546	6717	14153	6930929		196191	79714129	168451	764260	208737	391969	19293	108702282	23182195	18074151	3373	1626012	186608029	452352359	29902	1096416	218385	1121298	163379		3619288	22454	595907	542675	10042	36878076	19374508	5218	434278208	506443	582484	294316	4130980	33153275	89093	340918	5158	357354	59042	218753	158857	2170656	138875014	107910	29514	196685	6967110	702442	6863492	98783769	1787755	349982	1802521	463447046	491504970	90485	944945	9927306	467320	4709898	7959938	5477	73269	14193968	1050418	4591949	3096215	676832	189880	33014	40343	6296818	64421857	76269	95733363	1277043	808900	730839	1646400	6799	378569	1059433	7527	477185		33322963	258507	33398886	2459016	10328	137041	1361347	446954	5425627	13665		11540	1690463	2729	201024	159600	5389573	684599	739576	50407	10812	147203	1583227	8683416	970	528508	299835	19962473	247670179	2037039	126462473	2986494	21000	5019516	18073	5107221	6627		1014583174	20562	470134	8109841	3400359	553347	473101
1/1/1961	28139	8767	779754	579560	513592	30440944	75116	15550747	1008648	13647	21629	8589875	4592914	2110337	60074	8500111	243049	234744	2617551	3080500	138264	69587	645129	2772677	50873	45500	1395203	35203380	85370	38755	8695	16618	317330	12729040	41697325	2807954	42433	5405948	110327936	681188	793147	336096	7867396	25605	34906	474399	1358967	4270964	94722	8026	208511	5758030	52609561	45531	23140	3431879	1060756	3626403	155785386	239260861	60959917	376987980	1611926	10643444	167592451	144980	17614512	714269	1507630	254716319	22464970	2512483	123155	29703735	7690	10364	92415	41381472	1613251	1634032	397390	46455	85701	66693	4740951	27852	20155	1346990	34874	169075	575512940	2702168	482469	20930487	1294887	629952	5650018	13359388	26761	82711244		1306003	7730792	3321449	144661	1703972	30249038	569911	467227	60965749	4532708	632543	778534	604430	7150	14472	7351204		223298	83608970	173977	821153	220862	418403	19724	113546508	24333459	18922953	3432	1687075	193065804	468506896	34304	1141928	221560	1155193	166953		3794716	22812	630827	573083	10368	38704918	20323429	5563	449583943	530905	604663	292949	4297005	34762818	93680	370105	5453	378266	65668	228986	166094	2296244	142050755	113172	31490	205985	7213716	732709	6985555	101778039	1840926	364783	1851675	473734901	503109770	98715	993857	10347860	488442	4905806	8300149	5655	80522	14540630	1102264	4801791	3155977	696753	199912	34879	44008	6474669	66226377	79516	98527330	1365778	870467	772141	1702400	7330	395687	1095105	7894	501999		34862475	263081	34941484	2552736	10847	141035	1423197	464004	5511783	15499		12316	1773683	2766	213136	174770	5583031	718323	768150	52066	11428	144618	1623262	9051440	1026	559540	323496	20539872	256518139	2069234	129276215	3096714	21681	5320284	19732	5325183	6954		1044019836	21287	496755	8399326	3522083	595601	497024
1/1/1962	28532	9758	822719	612400	530766	32023589	84458	15916161	1061531	14163	21639	8844641	4624644	2169797	62348	8545539	262088	242709	2805663	3244762	142562	74094	682966	2895029	52015	46600	1433798	37039861	85875	42176	9386	17237	333405	13121753	42662735	2915607	42548	5592410	114685540	755956	842310	352792	8334979	27663	36320	492866	1395610	4379049	96940	8142	211862	5828213	53122383	49567	23541	3490118	1130118	3882767	162085639	247991158	63193996	385055992	1687400	11031301	170490026	153198	18089104	733452	1596234	258860916	23636720	2567399	129942	30550684	8072	10803	99891	41661202	1656450	1725452	421434	48075	87535	67668	4844217	28381	21492	1412577	36414	174697	588090120	2828656	511271	22044026	1344715	658298	5710839	13937385	27004	85270104		1328860	8086766	3528453	148268	1805829	30708292	591475	501865	62428798	4770603	670816	813050	622738	7608	14731	7811004		256934	87739228	179706	880852	233691	446864	20198	118624258	25585554	19797540	3477	1749516	200104035	487678085	39368	1186429	225946	1188070	172980		3975451	23042	666719	605334	10713	40642032	21311767	5963	467880545	556981	627575	291536	4469136	36442289	98370	401801	5720	401201	73016	238840	173706	2429844	145157046	118611	33547	215797	7471950	763698	7107497	104855372	1915999	374819	1914441	483234748	513970592	107702	1045883	10720938	510936	5167067	8653513	5827	88556	14828737	1159664	5002268	3212831	717329	210638	36942	48378	6646237	68060071	82671	101763858	1462344	936824	815711	1750200	7906	413583	1130564	8277	528185		36453075	267857	36533861	2652131	11577	145001	1471245	480036	5616067	17555		13118	1863178	2787	226027	191015	5784218	755144	798002	54389	12133	141621	1670320	9424077	1087	592635	349410	21128369	267776510	2100842	131988693	3215231	22342	5620088	21504	5551744	7299		1075768205	22070	524905	8658586	3649223	641165	524099
1/1/1963	28762	10810	868325	646970	547928	33702951	95281	16283195	1115732	14769	21695	9058607	4658034	2229639	64713	8624158	282768	251039	3008542	3411401	146662	78851	722477	3022385	53189	47700	1473629	38952449	86416	45814	10136	17894	350454	13522659	43670268	3014876	42684	5782764	121162226	839237	894873	370398	8824176	29877	37966	513730	1433393	4492013	99290	8228	214845	5903373	53664331	54122	23939	3548824	1202967	4154286	170578509	258930584	65466117	393420302	1763827	11429112	173630210	161901	18560792	753250	1690637	263247604	24888094	2623429	136982	31576957	8463	11262	108019	41900114	1699844	1819650	446953	50042	89409	68700	4937007	28842	22926	1481235	38065	180276	600899450	2937424	541531	23234523	1395476	687868	5768389	14542567	27404	87926199		1354239	8458177	3749759	151829	1891353	31188380	614271	535324	63957880	5003536	716059	849091	648834	8090	14930	8289479		295832	92044698	185629	942370	247263	477601	20710	123898089	26929987	20733356	3525	1790051	207406066	509533384	45178	1230140	229959	1221599	180727		4160668	23169	703542	639572	11068	42667441	22339277	6408	488800028	584160	651361	290127	4648891	38196054	103179	427961	5973	425540	81162	252004	181758	2570005	148185763	124350	35723	231781	7742425	796969	7225888	107992224	1991003	385194	1967968	492907226	525054076	117478	1104908	11112930	534392	5440431	9017542	5989	97430	15149001	1220307	5202148	3260048	739480	221859	39415	53325	6820612	69923357	85828	105112445	1581329	1008379	861673	1795000	8526	432641	1167509	8675	555749		38135561	272895	38218210	2760160	12319	148999	1519388	497639	5720204	19866		13949	1957075	2796	239718	209045	5993409	794261	828745	56830	12904	138286	1722882	9807573	1151	627776	377740	21720461	281393962	2131792	134615404	3341185	22989	5932625	23454	5788409	7661		1110432834	22886	554678	8903772	3782289	692380	562238
1/1/1964	28922	11915	917022	683170	565248	35483301	106317	16650736	1170799	15418	21768	9280894	4692726	2287911	67257	8720520	305217	259789	3228277	3582451	150586	83750	763117	3153963	54411	48900	1514809	40924135	86942	49726	10952	19230	368614	13934678	44717348	3102042	42833	5976975	127791981	931709	950991	388948	9335583	32274	39817	540990	1470829	4606099	101532	8299	218033	5985712	54147106	59120	24362	3608088	1279361	4443888	179303081	270130245	67760524	401816584	1842031	11836303	176766005	171137	19059712	773863	1791225	267634144	26221691	2675999	144104	32586168	8868	11757	116900	42098400	1743144	1914986	474175	53963	91423	69927	5029578	29240	24265	1549657	39793	185450	613782702	3019108	572837	24520272	1447098	718762	5829329	15175879	27931	90685977		1378553	8845953	3987432	155450	1985742	31702827	637352	572026	65516029	5228041	765269	886206	674842	8594	15079	8779189		337936	96509262	191781	1004419	261687	510955	21253	129343761	28377420	21732950	3576	1882621	215050109	532172960	51825	1275080	234207	1255757	189583		4349284	23237	740741	675836	11424	44811714	23405968	6884	510440010	612703	676190	288759	4838111	40031045	108128	446838	6243	451581	90178	265267	190244	2714905	151199564	130398	38025	248873	8023531	837987	7345397	111175178	2066761	396104	2024808	502607524	536216164	128110	1170502	11524621	558804	5725341	9390366	6143	107302	15484714	1280251	5416793	3296372	762744	233340	42166	58565	6997996	71815164	89287	108656998	1724654	1085576	910295	1841600	9194	453578	1205542	9080	584013		39912050	278138	39996796	2874671	13153	152909	1569094	516254	5834351	22480		14819	2055820	2798	255829	230147	6210236	834579	859830	59402	13704	134678	1779667	10202672	1216	665037	408456	22307574	295389901	2162002	137215986	3473500	23635	6255181	25586	6035887	8034		1145955662	23710	586178	9139544	3922381	759356	603076
1/1/1965	29082	13068	968697	720859	582374	37378102	116832	17017601	1226270	16071	21839	9507272	4726878	2343188	70633	8814176	329545	268990	3467913	3753817	154562	88711	804207	3282735	55693	50100	1557286	42937459	87420	53954	11841	22870	387788	14343688	45700350	3175203	42990	6174513	129348359	1033836	1010719	408428	9767764	34875	41826	568943	1506532	4718436	103656	8371	221861	6064767	54659677	64505	24832	3666724	1359146	4753164	183051509	276409313	70098170	410215765	1923644	12252252	179904095	180897	19580951	794190	1897778	271966925	27673773	2722631	151143	33551445	9292	12295	126605	42294196	1785661	2009908	503261	58258	93637	71404	5127549	29579	25892	1607069	41565	189969	626535898	3109377	604722	25887767	1499464	750865	5888035	15837772	28554	93534323		1401504	9250362	4242422	159059	2074492	32227841	659982	612075	67107937	5452216	817880	922554	700397	9117	15184	9286249		382233	100986394	198176	1065741	277006	578131	21822	134806969	29926059	22811365	3631	1967767	222964791	550218813	59411	1320810	238541	1287767	199000		4539833	23283	778740	714172	11770	47072879	24511883	7373	527407448	642627	702075	286362	5037998	41976933	113229	466255	6556	479151	100130	278602	199200	2862609	154056841	136749	40405	267020	8314986	880889	7469419	114404997	2143353	407520	2073571	512130901	547253211	139614	1243001	11955055	584102	6020674	9770039	6283	118212	15762096	1336533	5657804	3317422	786782	244848	45018	64022	7174333	73731369	93173	112324886	1877829	1168627	961629	1886900	9915	475442	1244257	9488	612807		41780921	283621	41868058	2994381	14147	156307	1619143	535928	5959398	25434		15733	2159657	2800	278316	255440	6434888	875161	890927	62105	14500	130905	1839221	10610427	1281	704516	441512	22924719	304442657	2191411	139663053	3611301	24289	6584706	27843	6295976	8416		1176754711	24525	619570	9370223	4070453	831970	646516
1/1/1966	29251	14262	1023511	760212	599300	39303453	126458	17383413	1281868	16720	21902	9769946	4763809	2394924	75535	8887919	355953	278745	3729876	3900528	158721	93732	845552	3415027	57045	51000	1601226	44991232	87841	58527	12808	27197	408131	14763748	46636989	3246083	43148	6375695	131746910	1109078	1074456	428899	10212563	37716	44028	597593	1541257	4827570	105249	8442	226504	6137954	55166778	70354	25360	3723679	1442416	5041536	187744906	283505826	72481572	418099307	2008863	12677663	182937809	191235	20096611	812599	2010268	276111749	29158904	2770510	158046	34459572	9690	12893	137252	42452048	1825872	2103423	534469	62995	96096	73253	5239942	29853	27334	1666499	43375	193725	638511867	3146833	637127	27304047	1552551	784390	5948507	16530973	29238	96479620		1424843	9673818	4487187	162665	2146053	32737193	682313	655478	68559722	5662917	874399	960953	724789	9659	15242	9815880		430637	105579393	204752	1125240	293312	655823	22419	140391180	31582607	23974199	3690	2058105	231113984	569607459	67240	1367610	241914	1315521	208990		4732571	23304	817282	754375	11979	49355124	25656171	7872	545633260	674298	729167	282936	5249628	43947096	118502	486159	6920	508603	111119	292049	208655	3012693	156823451	143411	43143	286287	8618351	925858	7590341	117219215	2220995	419605	2125227	521292652	558034040	152117	1320548	12406141	610295	6326873	10155874	6410	130341	16007142	1389174	5928561	3326794	811648	256336	47957	69627	7368164	75267305	97647	116141645	2041479	1258140	1015792	1934400	10688	498332	1283485	9900	644161		43712847	289380	43802793	3118141	15356	159915	1669066	557347	6083367	28721		16693	2268927	2800	302541	286062	6666679	915660	921766	64898	15287	126956	1903440	11085217	1347	746291	477413	23525935	314519276	2220204	142008703	3754165	24954	6921336	30550	6569593	8804		1208119326	25330	655059	9599611	4227188	910770	692786
1/1/1967	29413	15492	1081445	801464	616687	41182897	136174	17749065	1337550	17371	21960	9936764	4803163	2443302	80910	8951328	384569	289111	4014571	4030377	162886	98783	887225	3551335	58446	52000	1646632	47086230	88228	63439	13866	32347	429640	15136519	47617122	3324422	43306	6579783	134196718	1190324	1142467	450398	10672609	39255	46406	626924	1574824	4934081	106879	8518	231850	6205159	55468832	76745	25932	3779458	1529136	5208671	192664712	290981065	74892455	425813779	2097624	13112128	185740497	202169	20660198	828812	2128742	280049519	30719072	2823091	163958	35313433	9956	13540	148886	42603817	1863779	2195975	567729	68193	98779	75362	5357301	30061	28849	1728013	45226	196818	650391817	3237272	670179	28808544	1606732	819267	6013391	17255493	29842	99528560		1448990	10147476	4737200	166198	2259135	33233152	704167	702579	70019991	5859779	935127	999643	810017	10219	15255	10537106		480856	110292325	216873	1182814	310657	741667	23043	146099398	33417152	25283895	3753	2149139	239546151	589603605	72095	1415159	244349	1343866	219404		4927461	23297	856287	793889	12185	51673444	26838961	8385	564319710	707589	757441	279467	5472640	45896708	123944	506593	7330	539963	123244	305610	223713	3165435	159477276	150400	45978	310528	8933827	972898	7699768	120112085	2299864	432272	2175248	530279732	568721918	165729	1398123	12877673	637413	6644115	10548829	6522	151616	16289779	1436971	6224968	3340014	837322	266940	50995	75467	7586123	76812479	102652	120109711	2217022	1354665	1072927	1977600	11524	522288	1323220	10314	678367		45747694	295350	45840749	3239887	16781	163606	1718790	578934	6194186	31803		17693	2383814	2799	328641	322365	6905677	956339	952465	67773	15886	122897	1983238	11603225	1412	790637	516039	24111728	324773559	2248174	144288757	3902340	25628	7264884	33464	6857769	9201		1239995422	26293	692915	9830978	4392203	996044	742096
1/1/1968	29574	16764	1143293	845128	635924	43144841	147879	18120764	1393558	18010	22004	10156372	4831802	2488510	86615	9000174	415578	299959	4316529	4165384	167344	103769	929581	3690749	59828	53000	1693564	49227661	88618	68682	15027	38471	453120	15487885	48587546	3404837	43458	6785404	136747486	1278139	1215013	473065	11143652	40882	48802	656841	1607574	5039163	109059	8632	237757	6267134	55765529	83630	26499	3828566	1619430	5383537	197922280	298494352	77304871	433308019	2190066	13552962	188352603	210169	21248036	846346	2225695	283742610	32368965	2873315	169557	36015275	10230	14189	161462	42733856	1900892	2290376	602551	73924	101654	77294	5466737	30216	30461	1791855	47119	199457	661606667	3316715	704305	30405834	1661637	855428	6079237	18008881	30484	102693004		1473052	10660982	5002622	169365	2325145	33703021	726109	751427	71062053	6046922	1000339	1039135	903192	10798	15255	11362681		532882	115138280	229783	1240373	329116	836013	23679	151951114	35369651	26809300	3815	2247541	248284315	610445820	77308	1462669	246598	1375002	229339		5124861	23296	895696	835806	12656	54057007	28070309	9147	583636520	741944	787292	276131	5706587	47938505	129565	527711	7956	573384	136597	319317	240605	3321630	162004081	157794	48910	336670	9263186	1022163	7803319	123027288	2379197	445638	2206092	538579379	578791895	180602	1480952	13370098	665467	6972276	10951255	6627	176368	16575555	1482823	6669852	3360136	863603	277449	54153	81736	7786878	78366306	108146	124243786	2406783	1458638	1133328	2012000	12432	547530	1363433	10718	713975		47898098	301604	47994128	3365975	18395	166960	1768232	599472	6291760	35234		18736	2504624	2805	356939	363861	7151627	997742	983322	70801	16322	118864	2064417	12142207	1477	870061	557482	24688199	335352205	2274147	146463196	4056368	26316	7614458	36658	7161648	9614		1272052487	27286	733057	10067056	4564506	1088553	794773
1/1/1969	29737	18085	1209937	891813	656733	45182876	164045	18505681	1450290	18625	22022	10413985	4852163	2531166	92492	9039007	449088	311347	4627311	4304295	172455	108558	973216	3831426	61106	54000	1742042	51416009	89057	74211	16315	45716	477518	15804855	49513713	3481909	43605	6990276	139527262	1373204	1292176	497004	11618651	42568	51004	687172	1640077	5144851	111346	8831	243914	6326884	56259360	90930	26995	3875429	1713095	5563573	203621144	307757207	79731813	440588668	2285835	13995465	190788738	218550	21772801	865089	2328988	287194432	34104834	2908731	175175	36481398	10504	14772	174804	42833742	1939040	2390976	638035	80231	104642	78444	5560616	30336	32095	1858391	49048	201958	673914665	3379985	739997	32106104	1716633	892549	6147411	18792477	31105	105995689		1499259	11195222	5280598	171812	2404654	34152929	748970	799178	73357355	6230759	1070470	1077271	1006246	11505	15284	12225296		586894	120122511	243602	1300762	348690	938759	24304	157958020	37435742	28521254	3874	2343195	257350643	632242853	82887	1507983	249419	1404638	237649		5325447	23348	936294	880126	13171	56542791	29360883	9980	603721599	776356	818898	272927	5949938	50042794	135336	550748	8602	608744	151234	333151	258888	3482479	164487979	165705	52460	364901	9607492	1073744	7917513	125963932	2457954	459578	2237511	547950733	590016437	196856	1567966	13883155	694506	7310284	11365801	6736	205112	16835934	1532032	7229992	3364185	890236	288137	57461	88717	7968040	79922296	113914	128548351	2613449	1570402	1197303	2042500	13428	574219	1404165	11098	748684		50176240	308115	50274502	3496180	20127	169409	1818423	618383	6397326	39038		19818	2631492	2829	387749	408976	7404684	1040657	1014906	74079	16706	115055	2146415	12704821	1543	964069	601261	25262834	346370956	2296520	148629124	4216978	27023	7968211	40070	7481962	10052		1306157518	28240	774953	10310037	4742128	1188745	850131
